==13018== NVPROF is profiling process 13018, command: ./convolution
==13018== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13018== Profiling application: ./convolution
==13018== Profiling result:
==13018== Event result:
Invocations                                Event Name         Min         Max         Avg
Device "Tesla K80 (0)"
	Kernel: convolutionColumnsKernel(float*, float*, int, int, int)
         17                              active_warps   590241022   591457820   590898178
         17                           sm_cta_launched        9216        9216        9216
         17   not_predicated_off_thread_inst_executed   364216320   364216320   364216320
         17                         l1_local_load_hit           0           0           0
         17                        l1_local_load_miss           0           0           0
         17                        l1_local_store_hit           0           0           0
         17                       l1_local_store_miss           0           0           0
         17                        l1_global_load_hit           0           0           0
         17                       l1_global_load_miss           0           0           0
         17          uncached_global_load_transaction      734208      734208      734208
         17                  global_store_transaction      589824      589824      589824
         17                        shared_load_replay     2691072     2691072     2691072
         17                       shared_store_replay      368640      368640      368640
         17          global_ld_mem_divergence_replays      367104      367104      367104
         17          global_st_mem_divergence_replays      294912      294912      294912
         17                   local_load_transactions           0           0           0
         17                  local_store_transactions           0           0           0
         17               l1_shared_load_transactions     5382144     5382144     5382144
         17              l1_shared_store_transactions      737280      737321      737289
         17             __l1_global_load_transactions      736020      738301      736824
         17            __l1_global_store_transactions      589824      589824      589824
         17                                atom_count           0           0           0
         17                                gred_count           0           0           0
	Kernel: convolutionRowsKernel(float*, float*, int, int, int)
         17                 tex0_cache_sector_queries           0           0           0
         17                 tex1_cache_sector_queries           0           0           0
         17                 tex2_cache_sector_queries           0           0           0
         17                 tex3_cache_sector_queries           0           0           0
         17                  tex0_cache_sector_misses           0           0           0
         17                  tex1_cache_sector_misses           0           0           0
         17                  tex2_cache_sector_misses           0           0           0
         17                  tex3_cache_sector_misses           0           0           0
         17                     fb_subp0_read_sectors      844452      845173      844878
         17                     fb_subp1_read_sectors      844391      846530      844761
         17                    fb_subp0_write_sectors      753184      754599      753594
         17                    fb_subp1_write_sectors      752959      754166      753586
         17              l2_subp0_write_sector_misses      294914      294971      294924
         17              l2_subp1_write_sector_misses      294913      294969      294919
         17              l2_subp2_write_sector_misses      294912      294999      294920
         17              l2_subp3_write_sector_misses      294915      294991      294920
         17               l2_subp0_read_sector_misses      294918      294945      294925
         17               l2_subp1_read_sector_misses      294915      295619      294961
         17               l2_subp2_read_sector_misses      294916      295125      294937
         17               l2_subp3_read_sector_misses      294915      294943      294917
         17          l2_subp0_write_l1_sector_queries      294912      294984      294931
         17          l2_subp1_write_l1_sector_queries      294912      294912      294912
         17          l2_subp2_write_l1_sector_queries      294912      295000      294920
         17          l2_subp3_write_l1_sector_queries      294912      294984      294924
         17           l2_subp0_read_l1_sector_queries      365656      365656      365656
         17           l2_subp1_read_l1_sector_queries      365494      365494      365494
         17           l2_subp2_read_l1_sector_queries      365558      365558      365558
         17           l2_subp3_read_l1_sector_queries      365564      365564      365564
         17              l2_subp0_read_l1_hit_sectors       70744       70744       70744
         17              l2_subp1_read_l1_hit_sectors       70582       70582       70582
         17              l2_subp2_read_l1_hit_sectors       70646       70646       70646
         17              l2_subp3_read_l1_hit_sectors       70652       70652       70652
         17          l2_subp0_read_tex_sector_queries           0           0           0
         17          l2_subp1_read_tex_sector_queries           0           0           0
         17          l2_subp2_read_tex_sector_queries           0           0           0
         17          l2_subp3_read_tex_sector_queries           0           0           0
         17             l2_subp0_read_tex_hit_sectors           0           0           0
         17             l2_subp1_read_tex_hit_sectors           0           0           0
         17             l2_subp2_read_tex_hit_sectors           0           0           0
         17             l2_subp3_read_tex_hit_sectors           0           0           0
         17        rocache_subp0_gld_thread_count_32b           0           0           0
         17        rocache_subp1_gld_thread_count_32b           0           0           0
         17        rocache_subp2_gld_thread_count_32b           0           0           0
         17        rocache_subp3_gld_thread_count_32b           0           0           0
         17        rocache_subp0_gld_thread_count_64b           0           0           0
         17        rocache_subp1_gld_thread_count_64b           0           0           0
