0,1 ;16,1 ;32,1 ;48,1 ;64,1 ;80,1 ;96,1 ;112,1 ;128,1 ;144,1 ;160,1 ;176,1 ;192,1 ;208,1 ;224,1 ;240,1 ;
1,1 ;17,1 ;33,1 ;49,1 ;65,1 ;81,1 ;97,1 ;113,1 ;129,1 ;145,1 ;161,1 ;177,1 ;193,1 ;209,1 ;225,1 ;241,1 ;
2,1 ;18,1 ;34,1 ;50,1 ;66,1 ;82,1 ;98,1 ;114,1 ;130,1 ;146,1 ;162,1 ;178,1 ;194,1 ;210,1 ;226,1 ;242,1 ;
3,1 ;19,1 ;35,1 ;51,1 ;67,1 ;83,1 ;99,1 ;115,1 ;131,1 ;147,1 ;163,1 ;179,1 ;195,1 ;211,1 ;227,1 ;243,1 ;
256,1 ;272,1 ;288,1 ;304,1 ;320,1 ;336,1 ;352,1 ;368,1 ;384,1 ;400,1 ;416,1 ;432,1 ;448,1 ;464,1 ;480,1 ;496,1 ;
257,1 ;273,1 ;289,1 ;305,1 ;321,1 ;337,1 ;353,1 ;369,1 ;385,1 ;401,1 ;417,1 ;433,1 ;449,1 ;465,1 ;481,1 ;497,1 ;
258,1 ;274,1 ;290,1 ;306,1 ;322,1 ;338,1 ;354,1 ;370,1 ;386,1 ;402,1 ;418,1 ;434,1 ;450,1 ;466,1 ;482,1 ;498,1 ;
259,1 ;275,1 ;291,1 ;307,1 ;323,1 ;339,1 ;355,1 ;371,1 ;387,1 ;403,1 ;419,1 ;435,1 ;451,1 ;467,1 ;483,1 ;499,1 ;
512,1 ;528,1 ;544,1 ;560,1 ;576,1 ;592,1 ;608,1 ;624,1 ;640,1 ;656,1 ;672,1 ;688,1 ;704,1 ;720,1 ;736,1 ;752,1 ;
513,1 ;529,1 ;545,1 ;561,1 ;577,1 ;593,1 ;609,1 ;625,1 ;641,1 ;657,1 ;673,1 ;689,1 ;705,1 ;721,1 ;737,1 ;753,1 ;
514,1 ;530,1 ;546,1 ;562,1 ;578,1 ;594,1 ;610,1 ;626,1 ;642,1 ;658,1 ;674,1 ;690,1 ;706,1 ;722,1 ;738,1 ;754,1 ;
515,1 ;531,1 ;547,1 ;563,1 ;579,1 ;595,1 ;611,1 ;627,1 ;643,1 ;659,1 ;675,1 ;691,1 ;707,1 ;723,1 ;739,1 ;755,1 ;
768,1 ;784,1 ;800,1 ;816,1 ;832,1 ;848,1 ;864,1 ;880,1 ;896,1 ;912,1 ;928,1 ;944,1 ;960,1 ;976,1 ;992,1 ;1008,1 ;
769,1 ;785,1 ;801,1 ;817,1 ;833,1 ;849,1 ;865,1 ;881,1 ;897,1 ;913,1 ;929,1 ;945,1 ;961,1 ;977,1 ;993,1 ;1009,1 ;
770,1 ;786,1 ;802,1 ;818,1 ;834,1 ;850,1 ;866,1 ;882,1 ;898,1 ;914,1 ;930,1 ;946,1 ;962,1 ;978,1 ;994,1 ;1010,1 ;
771,1 ;787,1 ;803,1 ;819,1 ;835,1 ;851,1 ;867,1 ;883,1 ;899,1 ;915,1 ;931,1 ;947,1 ;963,1 ;979,1 ;995,1 ;1011,1 ;
