==12594== NVPROF is profiling process 12594, command: ./7
==12594== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12594== Profiling application: ./7
==12594== Profiling result:
==12594== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"tex0_cache_sector_queries",300526,300526,300526
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"tex1_cache_sector_queries",300476,300476,300476
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"tex2_cache_sector_queries",300548,300548,300548
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"tex3_cache_sector_queries",300542,300542,300542
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"tex0_cache_sector_misses",238528,238528,238528
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"tex1_cache_sector_misses",239070,239070,239070
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"tex2_cache_sector_misses",238854,238854,238854
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"tex3_cache_sector_misses",238520,238520,238520
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"fb_subp0_read_sectors",131435,131435,131435
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"fb_subp1_read_sectors",132627,132627,132627
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"fb_subp0_write_sectors",19128,19128,19128
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"fb_subp1_write_sectors",19134,19134,19134
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"l2_subp0_write_sector_misses",8040,8040,8040
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"l2_subp1_write_sector_misses",7686,7686,7686
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"l2_subp2_write_sector_misses",7680,7680,7680
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"l2_subp3_write_sector_misses",7685,7685,7685
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"l2_subp0_read_sector_misses",51707,51707,51707
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"l2_subp1_read_sector_misses",51390,51390,51390
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float const *, float*, float*, int*)",1,"l2_subp2_read_sector_misses",51429,51429,51429
