==12577== NVPROF is profiling process 12577, command: ./cfd
==12577== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12577== Profiling application: ./cfd
==12577== Profiling result:
==12577== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l2_subp3_write_sysmem_sector_queries",4,4,4
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l2_subp0_total_read_sector_queries",529751,529751,529751
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l2_subp1_total_read_sector_queries",530362,530362,530362
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l2_subp2_total_read_sector_queries",529058,529058,529058
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l2_subp3_total_read_sector_queries",529877,529877,529877
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l2_subp0_total_write_sector_queries",7682,7682,7682
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l2_subp1_total_write_sector_queries",8073,8073,8073
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l2_subp2_total_write_sector_queries",7683,7683,7683
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l2_subp3_total_write_sector_queries",7901,7901,7901
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"elapsed_cycles_sm",3656158,3656158,3656158
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"gld_inst_8bit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"gld_inst_16bit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"gld_inst_32bit",3342336,3342336,3342336
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"gld_inst_64bit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"gld_inst_128bit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"gst_inst_8bit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"gst_inst_16bit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"gst_inst_32bit",245760,245760,245760
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"gst_inst_64bit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"gst_inst_128bit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"rocache_gld_inst_8bit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"rocache_gld_inst_16bit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"rocache_gld_inst_32bit",442368,442368,442368
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"rocache_gld_inst_64bit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"rocache_gld_inst_128bit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"prof_trigger_00",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"prof_trigger_01",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"prof_trigger_02",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"prof_trigger_03",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"prof_trigger_04",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"prof_trigger_05",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"prof_trigger_06",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"prof_trigger_07",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"atom_cas_count",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"warps_launched",1536,1536,1536
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"threads_launched",49152,49152,49152
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"inst_executed",1864704,1864704,1864704
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"inst_issued1",2848973,2848973,2848973
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"inst_issued2",391483,391483,391483
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"thread_inst_executed",59670528,59670528,59670528
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"shared_load",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"shared_store",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"local_load",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"local_store",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"gld_request",104448,104448,104448
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"gst_request",7680,7680,7680
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"active_cycles",3322263,3322263,3322263
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"active_warps",178881904,178881904,178881904
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"sm_cta_launched",192,192,192
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"not_predicated_off_thread_inst_executed",57950208,57950208,57950208
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l1_local_load_hit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l1_local_load_miss",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l1_local_store_hit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l1_local_store_miss",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l1_global_load_hit",0,0,0
"Tesla K80 (0)","cfd_kernel(int, int*, float*, float*, float*, float*, float*, float*, float*, int*)",1,"l1_global_load_miss",0,0,0
