12400,1 ;12416,1 ;12432,1 ;12448,1 ;12464,1 ;12480,1 ;12496,1 ;12512,1 ;12528,1 ;12544,1 ;
12401,1 ;12417,1 ;12433,1 ;12449,1 ;12465,1 ;12481,1 ;12497,1 ;12513,1 ;12529,1 ;12545,1 ;
12402,1 ;12418,1 ;12434,1 ;12450,1 ;12466,1 ;12482,1 ;12498,1 ;12514,1 ;12530,1 ;12546,1 ;
12403,1 ;12419,1 ;12435,1 ;12451,1 ;12467,1 ;12483,1 ;12499,1 ;12515,1 ;12531,1 ;12547,1 ;
15472,1 ;15488,1 ;15504,1 ;15520,1 ;15536,1 ;15552,1 ;15568,1 ;15584,1 ;15600,1 ;15616,1 ;
15473,1 ;15489,1 ;15505,1 ;15521,1 ;15537,1 ;15553,1 ;15569,1 ;15585,1 ;15601,1 ;15617,1 ;
15474,1 ;15490,1 ;15506,1 ;15522,1 ;15538,1 ;15554,1 ;15570,1 ;15586,1 ;15602,1 ;15618,1 ;
15475,1 ;15491,1 ;15507,1 ;15523,1 ;15539,1 ;15555,1 ;15571,1 ;15587,1 ;15603,1 ;15619,1 ;
18544,1 ;18560,1 ;18576,1 ;18592,1 ;18608,1 ;18624,1 ;18640,1 ;18656,1 ;18672,1 ;18688,1 ;
18545,1 ;18561,1 ;18577,1 ;18593,1 ;18609,1 ;18625,1 ;18641,1 ;18657,1 ;18673,1 ;18689,1 ;
18546,1 ;18562,1 ;18578,1 ;18594,1 ;18610,1 ;18626,1 ;18642,1 ;18658,1 ;18674,1 ;18690,1 ;
18547,1 ;18563,1 ;18579,1 ;18595,1 ;18611,1 ;18627,1 ;18643,1 ;18659,1 ;18675,1 ;18691,1 ;
21616,1 ;21632,1 ;21648,1 ;21664,1 ;21680,1 ;21696,1 ;21712,1 ;21728,1 ;21744,1 ;21760,1 ;
21617,1 ;21633,1 ;21649,1 ;21665,1 ;21681,1 ;21697,1 ;21713,1 ;21729,1 ;21745,1 ;21761,1 ;
21618,1 ;21634,1 ;21650,1 ;21666,1 ;21682,1 ;21698,1 ;21714,1 ;21730,1 ;21746,1 ;21762,1 ;
21619,1 ;21635,1 ;21651,1 ;21667,1 ;21683,1 ;21699,1 ;21715,1 ;21731,1 ;21747,1 ;21763,1 ;
