==16581== NVPROF is profiling process 16581, command: ./11
==16581== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==16581== Profiling application: ./11
==16581== Profiling result:
==16581== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp0_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp1_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp2_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp3_gld_thread_count_128b",0,0,0
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp0_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp1_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp2_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp3_gld_warp_count_32b",0,0,0
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp0_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp1_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp2_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp3_gld_warp_count_64b",0,0,0
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp0_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp1_gld_warp_count_128b",0,0,0
"Tesla K80 (0)","spmv_kernel(float volatile *, int const *, int const *, float volatile *, int, float*)",1,"rocache_subp2_gld_warp_count_128b",0,0,0
